headword	gloss	root_form	root_language	justification
οὐρά	tail; rearguard	*h₁ers-	Proto-Indo-European	Greek and Celtic lexemes as nominal derivatives of PIE *h₁ers- 'rear' ([Chantraine 1968–1980](src-270):838, [Beekes 2010](src-66):1127-1128, [Matasović 2009](src-50):118).
οὐρανός	sky, firmament	*h₂u̯ers-	Proto-Indo-European	The best IE etymology, is a derivation to *h₂u̯ers- 'rain' (so [Wackernagel 1888](src-670):129 = Kl.Schr. 1.632, tentatively accepted by [Chantraine 1968–1980](src-270):838-839, [Beekes 2010](src-66):1128). The hypothesis of substrate borrowing is a possibility but, given that there is no concrete extra-Greek comparison for it, gratuitous. For the purposes of cognacy Wackernagel's etymology has been followed here.
οὖς	ear	*h₂eu̯s-	Proto-Indo-European	Hellenic, Armenian, Albanian, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *h₂ou̯s-os-, *h₂au̯s-os-, *h₂us-es- 'ear' ([NIL](src-274) 339-343, cf. [Beekes 2010](src-66):1130-1131, [Martirosyan 2010](src-79):637-638, [Demiraj 1997](src-369):415, [Orel 1998](src-105):501, [ALEW](src-352) 74, [Derksen 2015](src-353):71, [Derksen 2008](src-81):507, [de Vaan 2008](src-54):63, [Matasović 2009](src-50):48-49).
πέντε	five	*pénkʷe	Proto-Indo-European	Tocharian, Hellenic, Armenian, Albanian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes continuing PIE *pénkʷe 'five', generally considered to be the Indo-European inherited numeral for 'five' (not attested in phonetic spellings in Anatolian languages). See [Eichner 1982](src-342):383-569 for extensive discussion, cf. also [Adams 2013](src-345):415-416, [Beekes 2010](src-66):1172-1173, [Martirosyan 2010](src-79):409, [Demiraj 1997](src-369):315-316, [Orel 1998](src-105):316, [EWAia](src-172) II:65-66, [ALEW](src-352) 756-767, [Derksen 2015](src-353):351, [Derksen 2008](src-81):400, [Kroonen 2013](src-165):140, [de Vaan 2008](src-54):509, [Matasović 2009](src-50):176-177.
πέτομαι	fly	*pet-	Proto-Indo-European	Anatolian, Hellenic, Indo-Iranic, and Celtic lexemes derived from PIE *pet- 'to fly, fall' ([LIV² Addenda \& Corrigenda](src-389); cf. [LIV²](src-141) 476, [Kloekhorst 2008](src-80):655-660, [Beekes 2010](src-66):1181-1182, [Martirosyan 2010](src-79):286-287, 294, [EWAia](src-172) II:71-72, [Matasović 2009](src-50):129)
πήγνυμαι	become solid, freeze	*peh₂g̑-	Proto-Indo-European	Hellenic lexemes derived from PIE *peh₂g̑- 'become firm' (cf. [Chantraine 1968–1980](src-270):894-895, [Beekes 2010](src-66):1184, [LIV²](src-141) 461).
πίνω	drink	*peh₃(i̯)-	Proto-Indo-European	Hellenic, Armenian, Albanian, Indo-Iranic, Balto-Slavic, Italic, and Celtic lexemes derived from PIE *peh₃(i̯)- 'to drink' ([LIV²](src-141) 262, cf. [Beekes 2010](src-66):1194-1195, [Martirosyan 2010](src-79):277-279, [Orel 1998](src-105):324-325, [Schumacher & Matzinger 2013](src-364):990, [EWAia](src-172) II:113-114, [Derksen 2015](src-353):563, [Derksen 2008](src-81):401, [de Vaan 2008](src-54):71-72, [Matasović 2009](src-50):130).
πίπτω	fall (down)	*pet-	Proto-Indo-European	Hellenic and Indo-Iranic lexemes derived traditionally assigned to a root *peth₁- 'to fall' ([LIV²](src-141) 477-478, cf. [Chantraine 1968–1980](src-270):905-906, [Beekes 2010](src-66):1195-1196). See now [LIV² Addenda \& Corrigenda](src-389) considering a more basic PIE root *pet- 'to fall; to fly' merging also 2. *peth₂- 'to fly' ([LIV²](src-141) 479). Cf. also [EWAia](src-172) II:71-72).
παίζω	play (like a child), sport, dance, play (a game)	*peh₂u̯-	Proto-Indo-European	A denominal verb from Ancient Greek παῖς (gen. παιδός) 'child', cf. cognate set 1462 for further discussion.
παλαιός	old (of persons and things)	*pelh₂-	Proto-Indo-European	Hellenic lexemes derived from the adverb πάλαι, probably a fossilised case form of a root noun *pl̥h₂-ei̯ and to be connected with πέλας 'near', πελάζω 'approach, draw near', πίλναμαι 'draw near, approach', πλησίον 'near' (adv.) from *pelh₂-, in the sense *'in the (near, recent) past' > 'old' ([Chadwick 1976](src-718), [Beekes 2010](src-66):1144-1145). Older etymologies attempting to connect to the same root as Att. τῆλε 'far away' (cf. Aeol. πήλυι) cannot be correct since Mycenaean pa-ra-jo does not contain a labiovelar as one would expect ([Chantraine 1968–1980](src-270):851, [Beekes 2010](src-66):1144-1145).
παχύς	thick, stout	*bʰeng̑ʰ-	Proto-Indo-European	Hellenic, Indo-Iranic, and Baltic lexemes derived from PIE *bʰeng̑ʰ- ([NIL](src-274) 13-15, cf. [Beekes 2010](src-66):1159-1160, [EWAia](src-172) II:220-221, [Turner 1962–1966](src-442):518, [ALEW](src-352) 115-116).
πικρός	bitter, pungent (of taste)	*pei̯k̑-	Proto-Indo-European	Hellenic lexemes from PIE *pik̑-ro-, a derivative to PIE *pei̯k̑- 'to cut out, carve out' ([Chantraine 1968–1980](src-270):900-901, [Beekes 2010](src-66):1190, cf. [LIV²](src-141) 465-466).
πλήρης	full, filled	*pleh₁-	Proto-Indo-European	Hellenic, Armenian, Albanian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *pleh₁- 'to fill, be(come) full' ([Beekes 2010](src-66):1191-1192, [Martirosyan 2010](src-79):309-310, [Demiraj 1997](src-369):327, [Orel 1998](src-105):335, [EWAia](src-172) II:156-157, [ALEW](src-352) 772-773, [Derksen 2015](src-353):356, [Derksen 2008](src-81):426, [Kroonen 2013](src-165)159, [de Vaan 2008](src-54):472-273, [Matasović 2009](src-50):132).
πνέω	breathe (in/out)	?*pneu̯-	Proto-Indo-European	Hellenic lexemes of uncertain etymology, perhaps from a PIE root *pneu̯- if cognate with Germanic lexemes attested by, e.g., Old Norse fnýsa 'sniff, snort' ([Chantraine 1968–1980](src-270):920, [Beekes 2010](src-66):1213-1214, [LIV²](src-141) 489).
ποταμός	river, stream	*pet-	Proto-Indo-European	Hellenic lexemes whose root etymology is traditionally disputed between the near-homophonous roots *peth₁- 'to fall', 1. *peth₂- 'to spread out', and 2. *peth₂- 'to fly' ([Chantraine 1968–1980](src-270):931, [Beekes 2010](src-66):1225-1226, cf. [LIV²](src-141) 477-479). See now, however, [LIV² Addenda \& Corrigenda](src-389) merging *peth₁- 'to fall' and 2. *peth₂- 'to fly' into a single, more basic root *pet- 'to fly; to fall'. In view of this, the basic etymology to *pet- has been tentatively accepted here.
πούς	foot, leg	*ped-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Germanic, and Italic lexemes derived from PIE *ped- 'to step; to fall, sink' ([NIL](src-274) 526-540), cf. [Kloekhorst 2008](src-80):653-654, [Adams 2013](src-345):432, [Beekes 2010](src-66):1227-1228, [Martirosyan 2010](src-79):534-535, [EWAia](src-172) II:77-78 [Kroonen 2013](src-165):152, [de Vaan 2008](src-54):462, [LIV²](src-141) 458).
πράττω	do, be busy with; accomplish; manage affairs	πρᾱγ- / prāg-	Greek: Ancient	Often connected with the family of Ancient Greek πείρω 'pierce, run through' (cf. [LIV²](src-141) 472-473 s.v. 1. *per- 'hindurchkommen, durchqueren') with a velar extension to the root, but the root and stem formation remains nonetheless obscure (cf. [Chantraine 1968–1980](src-270):934-935, [Beekes 2010](src-66):1229-1230).
πτέρυξ	wing (of a bird)	*pet-	Proto-Indo-European	Anatolian, Hellenic, Armenian, Nuristani, Germanic, Italic, and Celtic lexemes derived from PIE *pet- 'to fly, to fall'. For the root reconstruction cf. [LIV² Addenda \& Corrigenda](src-389). For individual branches cf. [Kloekhorst 2008](src-80):658-659, [Beekes 2010](src-66):1248, [Martirosyan 2010](src-79):286-287, {Turner 1962–1966}:437 no. 7733, [Kroonen 2013](src-165):138-139, [de Vaan 2008](src-54):458, [Matasović 2009](src-50):126).
πτερόν	feather	*pet-	Proto-Indo-European	Anatolian, Hellenic, Armenian, Indo-Iranic, Germanic, Italic, and Celtic lexemes derived from PIE *pet- 'to fly, fall' ([Kloekhorst 2008](src-80):658-659, [Beekes 2010](src-66):1248, [EWAia](src-172) II:75-76, [Turner 1962–1966](src-442):435-436 no.7721, [Kroonen 2013](src-165):138-139, [de Vaan 2008](src-54):458, [Lucht 2007](src-151):151-152, [Matasović 2009](src-50):129). For the root reconstruction *pet-, cf. [LIV² Addenda \& Corrigenda](src-389).
πόα	grass	*pei̯H-	Proto-Indo-European	Hellenic lexemes continuing PIE *poi̯H-u̯eh₂- 'grass, meadow', cf. Lithuanian píeva 'meadow' ([Chantraine 1968–1980](src-270):922, [Beekes 2010](src-66):1214-1215, cf. [ALEW](src-352) 769).
πόρρω	far off, afar	πόρρω / pórrō	Greek: Ancient	Two possible etymologies: Either identical to Lat. porrō 'forward' if from *p(o)rsōd, alternatively from *πόρσω, derived from πρός 'towards' (< PIE *próti) with a commonly found liquid metathesis. Since both derivations have similar semantic paths of derivation it is difficult to choose between the two possibilities ([Chantraine 1968–1980](src-270):929, [Beekes 2010](src-66):1223).
πῦρ	fire	*péh₂-u̯r̥, *ph₂-u̯én-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Baltic, Germanic, and Sabellic lexemes derived from PIE *péh₂-u̯r̥, *ph₂-u̯én-, an inherited r/n-heteroclitic nominal stem (cf. [NIL](src-274) 540-545, [EIEC](src-657) 202, cf. [Kloekhorst 2008](src-80):613-614, [Adams 2013](src-345):421-422, [Beekes 2010](src-66):1260-1261, [Martirosyan 2010](src-79):426-427, [Kroonen 2013](src-165):151, [de Vaan 2008](src-54):500).
σαπρός	rotten, putrid	?*Ki̯eh₂p-	Proto-Indo-European	Internal reconstruction points to a root *tu̯eh₂p-, *ti̯eh₂p- or *⁽k̑⁾i̯eh₂p- ([LIV²](src-141) 361 reconstructs *Ki̯eh₂p-), but no cognates are known outside of Greek ([Beekes 2010](src-66):1324).
σελήνη	moon	σελήνη / selḗnē	Greek: Ancient	Hellenic lexemes, originally from a derived adjective in *-nā to Ancient Greek σέλας 'light, brightness', i.e. Proto-Greek *selásnā- (cf. Lesbian σέλαννα 'moon'). Further etymology obscure ([Chantraine 1968–1980](src-270):955, [Beekes 2010](src-66):1318-1319).
σκάπτω	dig, dig about	*skabʰ-	Proto-Indo-European	The root etymology in this set follows [LIV²](src-141) 549 and the latter of the two possible etymologies suggested by [Chantraine 1968–1980](src-270):1011 to a PIE root *skabʰ- 'to scratch, shave'. Cf. however [Beekes 2010](src-66):1342-1343 favouring a substrate origin.
σκέλος	leg (from the hip downwards)	*skel-	Proto-Indo-European	Hellenic lexemes derived from PIE *skel- 'bend, curve' ([Chantraine 1968–1980](src-270):1013, [Beekes 2010](src-66):1346).
σκία	shadow, shade	*s⁽k̑⁾eH-	Proto-Indo-European	Tocharian, Hellenic, Albanian, Indo-Iranic, and Slavic lexemes continuing derivatives of a PIE root *s⁽k̑⁾eH- where the indeterminate laryngeal is probably *-h₂- on the basis of Ancient Greek σκηνή (West Greek σκᾱνᾱ́) 'tent' < *'cloth to provide shade' < *s⁽k̑⁾eh₂-néh₂ ([Beekes 2010](src-66):1350-1351). Also attested in Greek is σκότος 'darkness, gloom' which must formally continue *s⁽k̑⁾h₃-to- ([Beekes 2010](src-66):1359-1360). It is probably best to separate these as distinct roots, although formally they may well be (sandhi?) variants of one another at the PIE level. For further discussion cf. [Adams 2013](src-345):773, [Beekes 2010](src-66):1350-1351, [Andriotis 1974](src-460):498, [Demiraj 1997](src-369):201, [Orel 1998](src-105):147-148, [EWAia](src-172) I:559-560, [Turner 1962–1966](src-442):275-276 no. 5027, [Derksen 2008](src-81):447).
σκληρός	hard, stiff	*(s)kelh₁-	Proto-Indo-European	Hellenic lexemes as though from PIE *skl̥h₁-ró-, an derived adjective to PIE *(s)kelh₁- 'to dry out, dry up' ([Chantraine 1968–1980](src-270):1012-1013, [Beekes 2010](src-66):1345-1346, cf. [LIV²](src-141) 553).
σκώληξ	worm, earthworm	σκώληξ / skṓlex	Greek: Ancient	Etymology outside Hellenic uncertain ({ref Chantraine {1968–1980}:1025-1026, [Beekes 2010](src-66):1364).
σπέρμα	seed	*sper-	Proto-Indo-European	Hellenic and Albanian lexemes derived from PIE *sper- 'to spread, scatter' ([LIV²](src-141) 580). The connection of Albanian lexemes to this class follows [Demiraj 1997](src-369):56, [Orel 1998](src-105):93, but more skeptically cf. [Holm 2011](src-130):78; for Hellenic, cf. [Chantraine 1968–1980](src-270):1035-1036, [Beekes 2010](src-66):1379-1380, [Babinotis 2010](src-382):1316).
στενός	narrow	*stenu-	Proto-Greek	Variants among the Ancient Greek dialects point to an original u-stem *stenu- that was later thematised as *stenu̯o- (with subsequent loss of medial *-u̯-), but further connections outside of Greek remain unclear ([Chantraine 1968–1980](src-270):1051-1052, [Beekes 2010](src-66):1399).
στόμα	mouth	*steh₃-	Proto-Indo-European	Hellenic lexemes from PIE *stéh₃-mn, *sth₃-mén-s, cf. Hitt. ištāman- 'ear', Av. staman- 'snout, maw' ([Chantraine 1968–1980](src-270):1058-1059, [Beekes 2010](src-66):1408, cf. [Kloekhorst 2008](src-80):411-413).
στῆθος	breast, chest	στῆθος / stē̃thos	Greek: Ancient	The connection of the forms in this class to those from PIE *pstḗn in [cognate set 2217](cog-2217) is disputed, and rest on assuming that it is root-cognate with a gloss στήνιον from Hesychius's Lexicon. The word-formation within Greek is, however, unclear ([Frisk 1960-1972](src-174) II:795, [Chantraine 1968–1980](src-270):1054-1055, [Beekes 2010](src-66):1403-1404, cf. [IEW](src-49) 990).
τέτταρες	four	*kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur-	Proto-Indo-European	The reflexes found in the individual languages reflect different generalised accent/ablaut classes of PIE *kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur- 'four'. For extensive discussion cf. [Eichner 1982](src-342):298-382, cf. also [Adams 2013](src-345):703, [Beekes 2010](src-66):1471-1472, [Martirosyan 2010](src-79):546-547, [Orel 1998](src-105):173-174, [EWAia](src-172) I:526-527, [ALEW](src-352) 483-485, [Derksen 2015](src-353):241, [ESSJa](src-458) 4:97-98, [Derksen 2008](src-81):87, [Kroonen 2013](src-165):133, [de Vaan 2008](src-54):505-506, [Matasović 2009](src-50):179.
τέφρα	ashes	*dʰegʷʰ-	Proto-Indo-European	Hellenic lexemes as nominal derivatives PIE *dʰegʷʰ-r-h₂ from PIE *dʰegʷʰ- 'burn' ([Beekes 2010](src-66):1475-1476, [Chantraine 1968–1980](src-270):1112; cf. [LIV²](src-141) 133-134).
τράχηλος	neck	τράχηλος / tráchēlos	Greek: Ancient	Hellenic lexemes traditionally considered a derivation to the same root as Ancient Greek τρέχω 'to run' ([Chantraine 1968–1980](src-270):1130), but cf. [Beekes 2010](src-66):1501 considering this explanation semantically unconvincing, with aspects of the word formation also unclear from an IE point of view.
τρέπω	turn, direct (towards something)	*trep-	Proto-Indo-European	IE root etymology difficult. This class tentatively follows [Beekes 2010](src-66):1503-1504, [LIV²](src-141) 650 s.v. *trep-, but cf. also [Chantraine 1968–1980](src-270):1132-1133.
τρέχω	run (of humans); move quickly (of things)	*dʰre⁽g̑⁾ʰ-	Proto-Indo-European	Hellenic lexemes from PIE *dʰre⁽g̑⁾ʰ- ([Beekes 2010](src-66):1506-1507, [LIV²](src-141) 154). For the Tsakonian lexemes in this class, cf. [Andriotis 1974](src-460):556-557.
τρεῖς	three	*trei̯-	Proto-Indo-European	Lexemes from PIE *trei̯- 'three' ([Eichner 1982](src-342):142-297, [LIPP 2](src-294):803-805, cf. [Kloekhorst 2008](src-80):872-873, [Adams 2013](src-345):339-340, [Beekes 2010](src-66):1502, [Martirosyan 2010](src-79):261-262, [Demiraj 1997](src-369):387-388, [Orel 1998](src-105):463, [EWAia](src-172) I:675-678, [ALEW](src-352) 1125-1126, [Derksen 2015](src-353):471, [Derksen 2008](src-81):449, [Kroonen 2013](src-165):546-547, [de Vaan 2008](src-54):628-629, [Matasović 2009](src-50):390).
τύπτω	beat, strike	*(s)teu̯p-	Proto-Indo-European	The cognacy in this class follows [LIV²](src-141) to PIE *(s)teup- after [Oettinger 1979](src-649):417, 535, [Hajnal 1995](src-380):127. Note however disagreement of [Melchert 1994](src-368):242, [Neumann 2007](src-414):384-385, comparing Gk. στυφελίζω suggesting a root-variant *(s)teubʰ- (after [IEW](src-49) 1034; not in [LIV²](src-141)). According to [Beekes 2010](src-66):1418-1419, however, Gk. στυφελίζω has no secure connections outside of Greek.
φέρω	bear, carry	*bʰer-	Proto-Indo-European	Tocharian, Hellenic, Armenian, Albanian, Indo-Iranic, Germanic, Italic, and Celtic lexemes derived from PIE *bʰer- 'to carry' ([LIV²](src-141) 76-77, cf. [Adams 2013](src-345):397-398, [Beekes 2010](src-66):1562-1564, [Martirosyan 2010](src-79):176, [Schumacher & Matzinger 2013](src-364):965, [EWAia](src-172) I:246-249, [Cheung 2007](src-83):6-10, [Seebold 1970](src-556):104-106, [Kroonen 2013](src-165):59, [de Vaan 2008](src-54):213-214, [Matasović 2009](src-50):62).
φθείρ	louse	*gʷg̑ʰer-	Proto-Indo-European	Hellenic lexemes to be derived from the same root as Ancient Greek φθείρω 'to ruin, destroy' < *dʰgʷʰer-i̯e/o- 'flow away, disappear' ([Chantraine 1968–1980](src-270):1198, [Beekes 2010](src-66):1569). The onset cluster ψ- found in some Modern Greek dialects has probably come about via contamination with Modern Greek ψύλλα 'flea' ([Babinotis 2010](src-382):1626).
φλοῖος	bark	φλοῖος / phloiós	Greek: Ancient	Etymology outside of Hellenic uncertain, possibly to be connected with verbs φλέω 'to teem with abundance, abound' and φλύω 'to boil over, bubble up' as derivatives of PIE *bʰleu̯H- 'to overflow'; cf. [Chantraine 1968–1980](src-270):1214, [Beekes 2010](src-66):1580, [Babinotis 2010](src-382):1546-1547.
φοβέομαι	fear, be afraid	*bʰegʷ-	Proto-Indo-European	Hellenic lexemes derived from PIE *bʰegʷ- 'to run away, flee' via the causative-iterative stem *bʰogʷ-éi̯e- 'to make run, flee' (cf. [LIV²](src-141) 67, [Chantraine 1968–1980](src-270):1183-1184, [Beekes 2010](src-66):1559).
φύλλον	leaf	*bʰleh₃-	Proto-Indo-European	The Tocharian, Hellenic, and Germanic lexemes in this class are generally considered derivations from PIE *bʰleh₃- 'to bloom', although certain derivational details remain disputed. Root ref. form follows [LIV²](src-141) 88, cf. [Adams 2013](src-345):415, [Chantraine 1968–1980](src-270):1232-1233, [Beekes 2010](src-66):1596-1597, [Kroonen 2013](src-165):66). It is possible, but uncertain that Latin folium and the Romance lexemes continuing it belong here, cf. further discussion in [cognate set 8247](cog-8247).
χείρ	hand, arm	*g̑ʰes-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Albanian, and Indo-Iranic lexemes from PIE *g̑ʰes- *'grasp'(?), 'hand', 'grip' ([NIL](src-274) 170-173). Indo-Iranic cognates reflect *g̑ʰes-to- (cf. [EWAia](src-172) II:812), other languages reflect an r-stem g̑ʰes-r- or thematised r-stem *g̑ʰes-r-o- ([Kloekhorst 2008](src-80):471-472, [Adams 2013](src-345):711-712, [Beekes 2010](src-66):1620-1621, [Martirosyan 2010](src-79):431-432, [Demiraj 1997](src-369):140, [Orel 1998](src-105):70).
χθές	yesterday	*g̑ʰes-	Proto-Indo-European	Cf. [LIPP 2](src-294) s.v. *g̑ʰés- 'gestern' for extensive discussion of the attempted reconstructions of forms in this class, also [NIL](src-274) s.v. *dei̯-, *di- under ?*(g̑ʰ)-di-es (with discussion in footnotes 6-18). The cognacy of the lexemes in this class is not disputed, however there remains much disagreement in the literature how the forms are derived in the attested languages from a common reconstruction. The two most commonly held hypotheses include (1) derivations related to the Germanic word for 'day' (cf. [cognate set 200](cog-200), not without its own problems in derivation) as *dʰg̑ʰ-i̯es- (zero-grade root + comparative suffix or endingless locative) or (2) a compound of the Indo-European deictic *g̑ʰo- ~ *g̑ʰ- (cf. LIPP 2 275-276) in the zero-grade + the root *dei̯- ~ *di- 'shine' ([NIL](src-274) 69-81, cf. esp. fn6), which underlies words for day in many other branches (cf. [cognate set 375](cog-375)). For a recent extensive discussion of these and other hypotheses, cf. LIPP 2 269-270. For individual branches, cf. [Beekes 2010](src-66):1692, [Demiraj 1997](src-369):138, [Orel 1998](src-105):68, [EWAia](src-172) II:822, [Abaev 1959–1995](src-156) IV:313-314, [Kroonen 2013](src-165):175-176, [de Vaan 2008](src-54):283, [Matasović 2009](src-50):155). Cf. also [Schindler 1977](src-689) and [Puhvel 1987](src-588) for further discussion on aspects of the IE reconstruction.
χιών	snow, fallen snow	?*g̑ʰéi̯-om, *g̑ʰ(i)i̯-ém-, *g̑ʰi-m-	Proto-Indo-European	Greek, Armenian, and Indo-Iranic lexemes from an original m-stem noun *g̑ʰéi̯-om, *g̑ʰ(i)i̯-ém-, *g̑ʰi-m-´-; based on the ablaut patterns attested among the daughter languages a basic root *g̑ʰei̯- can be abstracted ([NIL](src-274) 162-169, cf. [Beekes 2010](src-66):1619-1620, [Babinotis 2010](src-382):1599, [Martirosyan 2010](src-79):434-435, [EWAia](src-172) II:815-816, [Turner 1962–1966](src-442):815 no. 14096).
χλωρός	greenish-yellow, pale green	*g̑ʰelh₃-	Proto-Indo-European	Hellenic, Indo-Iranic, Balto-Slavic, and Celtic lexemes derived from PIE *g̑ʰelh₃- 'green, yellow' ([Beekes 2010](src-66):1638, [EWAia](src-172) II:805-806, [ALEW](src-352) 1285-1286, 1296, [Derksen 2015](src-353):511-512, [Derksen 2008](src-81):541, [Matasović 2009](src-50):160).
ψυχρός	cold	ψυχρός / psychrós	Greek: Ancient	Because the morphology of the related forms within Greek conform to the Caland system is suggestive that they are inherited from Indo-European, but there are no known cognates outside of Greek (cf. [Chantraine 1968–1980](src-270):1295-1296, [Beekes 2010](src-66):1672-1673).
ἀγαθός	good (of persons and things)	ἀγαθός / agathós	Greek: Ancient	Etymology outside of Greek uncertain ([Chantraine 1968–1980](src-270):6, [Beekes 2010](src-66):7), cf. [Pinault 1979](src-717), [Beekes 1996](src-716) for competing hypotheses.
ἀκούω	hear	*h₂keu̯s-	Proto-Indo-European	The cognacy of the Greek and Germanic forms is generally agreed, but the derivation of the forms from a common IE proto-form is disputed. An explanation from a compound stem *h₂k-h₂ou̯s-i̯e- 'is sharp-eared' is commonly considered (cf. [Ringe 2006](src-395):71), but this analysis remains uncertain (cf. [Beekes 2010](src-66):55). For references to older literature, cf. [Chantraine 1968–1980](src-270):50-51; [Lehmann 1986](src-179):180-181.
ἀλέω	grind (grain/corn), mill	*h₂leh₁-	Proto-Indo-European	Hellenic, Armenian, and Iranic lexemes derived from PIE *h₂leh₁- 'to grind up' (cf. [LIV²](src-141) 277, [Beekes 2010](src-66):65, [Martirosyan 2010](src-79):26-27, [Cheung 2007](src-83):166, [Bailey 1979](src-320):22, [Klingenschmitt 1982](src-558):93).
ἀνήρ	(adult) man; husband	*h₂ner-	Proto-Indo-European	Hellenic, Armenian, Albanian, Indo-Iranic, and Sabellic lexemes derived from PIE *h₂nér- 'man' ([NIL](src-274) 332-335, cf. [Beekes 2010](src-66):103-104, [Martirosyan 2010](src-79):61-62, [Huld 1984](src-571):100-101, [Orel 1998](src-105):304, [EWAia](src-172) II:19-20, [de Vaan 2008](src-54):406-407, [Untermann 2000](src-279):495-497).
ἀποθνῄσκω	die	*dʰenh₂-	Proto-Indo-European	Hellenic lexemes derived from PIE *dʰenh₂- 'to set in motion; to move off' ([LIV²](src-141) 144-145, [Beekes 2010](src-66):533-534). Older etymologies (cf. [Buck 1949](src-47):287) compare forms related to Skt. dhvān- 'dark', however the internal structure of the Greek derivatives θάνατος, θνῄσκω must be accounted for in terms of preforms *dʰn̥h₂-eto-, *dʰn̥h₂-sk̑e/o- respectively, thus [LIV²](src-141) reconstructs *dʰenh₂-.  The Modern Greek present πεθαίνω was backformed from Ancient/Medieval Greek aorist (ἀ)πέθανον, with replacement of -ανον with present morph. -αίνω and regular loss of initial unstressed ἀ-.
ἀποκτείνω	kill, slay	*t⁽k̑⁾en-	Proto-Indo-European	Ancient Greek (ἀπο-)κτείνω 'to kill, put to death', derived from PIE *t⁽k̑⁾én-i̯e/o-, a derivative of the root *t⁽k̑⁾en- 'to injure' ([LIV²](src-141) 645-646, [Beekes 2010](src-66):789-790, cf. [Chantraine 1968–1980](src-270):591). Wakhi šay- (past stem šit-) has presumably undergone the same semantic narrowing to the meaning 'kill', as against Vedic 'injure' and Avestan 'destroy' ([Morgenstierne 1938](src-334): 543, [Cheung 2007](src-83): 453).
ἀριθμέω	number, count	*h₂rei̯-	Proto-Indo-European	Hellenic, Germanic, and Celtic lexemes ultimately derived from PIE *h₂rei̯- 'to count, reckon' ([Beekes 2010](src-66):131, [Lehmann 1986](src-179):281-282, [Matasović 2009](src-50):313).
ἀριστερός	left, on the left	ἀριστερός / aristerós	Greek: Ancient	Root etymology uncertain. Perhaps to *h₂er- 'to fit (together)' (cf. [LIV²](src-141) 269-270) in the original sense 'more fitting' > 'better' > 'the better side, left' via popular euphemism ([Chantraine 1968–1980](src-270):106-107, [Beekes 2010](src-66):128, 131-132).
ἀστήρ	star	*h₂ster-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Germanic, Italic, and Celtic lexemes continuing PIE *h₂stḗr-, *h₂ster- ́ 'star' ([NIL](src-274) 348-354, cf. [Kloekhorst 2008](src-80):326, [Adams 2013](src-345):701, [Beekes 2010](src-66):156-157, [Martirosyan 2010](src-79):120-122, [Clackson 2017](src-673):110, [EWAia](src-172) II:755-756, [Turner 1962–1966](src-442):330 no. 5798, [Lehmann 1986](src-179):322, [Kroonen 2013](src-165):478, [de Vaan 2008](src-54):585, [Matasović 2009](src-50):355). For a proposed deep etymological connection with PIE *h₂eh₁s- 'to dry up/wither by heat' cf. [Pinault 2007](src-327).
ἄμμος	sand	ἄμμος / ámmos	Greek: Ancient	Earlier literature (cf. [Buck 1949](src-47):22) connects Proto-Germanic *samda- [cognate set 284](cog-284), Greek ἄμμος [cognate set 8262](cog-8262), and Lat. sabulum [cognate set 8263](cog-8263) together from an original stem *samdʰo-. This etymology is followed in some recent literature (cf. [Ringe 2006](src-395):11, 101) where the connection between these classes can be maintained through a reconstruction *sámh₂dʰos. On the other hand, Beekes in [EIEC](src-657) objects to this reconstruction on the basis of difficulties within Greek and the necessity to reconstruct IE *a. The Armenian forms in [cognate set 8261](cog-8261) are sometimes also connected to the Germanic, Greek, and Italic ones, but alternative explanations are also possible (cf. [Martirosyan 2010](src-79):149-150). It may well be possible that we are dealing with a European substrate loan into Late-IE which could be accounted for by *samh₂dʰo- (cf. [Kroonen 2013](src-165):426), but the details remain quite unclear. As a consequence of the difficulties in reconciling all the proposed cognacy relations between these four branches, it is preferable to split them into separate cognate sets.
ἄνεμος	wind	*h₂enh₁-	Proto-Indo-European	Hellenic and Armenian lexemes generally derived from PIE *h₂enh₁- 'to breathe' ([NIL](src-274) 307-311, [Beekes 2010](src-66):101-102, [Martirosyan 2010](src-79):416, [Olsen 1999](src-180):27, cf. [LIV²](src-141) 267-268).
ἄνθος	blossom, flower	*h₂endʰ-	Proto-Indo-European	Generally compared with Vedic ándhas- 'sprout of the soma plant' which can be accounted for via an s-stem *h₂éndʰ-os- from which Greek ἄνθος would also be a regular reflex ([Beekes 2010](src-66):104-105, [LIV²](src-141) 266, cf. [EWAia](src-172) I:79). See, however, [Chantraine 1968–1980](src-270):89-90 with some reservations.
